city,street,housenumber,type,service_type,service_name,address,lat,lon
Маріуполь,проспект Победы,98,commercial,unknown,,"Маріуполь, проспект Победы, 98",47.1059777,37.6668117
Маріуполь,улица Олимпийская,153,commercial,unknown,,"Маріуполь, улица Олимпийская, 153",47.1200104,37.6799074
Маріуполь,проспект Победы,109,commercial,unknown,,"Маріуполь, проспект Победы, 109",47.1053385,37.6644933
Маріуполь,проспект Строителей,92,commercial,unknown,,"Маріуполь, проспект Строителей, 92",47.09728399999999,37.5224929
Маріуполь,проспект Металлургов,121А,commercial,unknown,,"Маріуполь, проспект Металлургов, 121А",47.11025009999999,37.5560939
Маріуполь,"проспект Металлургов, 194, пом. 2",,commercial,unknown,,"Маріуполь, проспект Металлургов, 194, пом. 2",47.13351900000001,37.5660983
Маріуполь,проспект Строителей,85А,commercial,unknown,,"Маріуполь, проспект Строителей, 85А",47.0899315,37.5237343
Маріуполь,проспект Победы,100,commercial,unknown,,"Маріуполь, проспект Победы, 100",47.10586929999999,37.6671598
Маріуполь,проспект Победы,111,commercial,unknown,,"Маріуполь, проспект Победы, 111",47.105284,37.665245
Маріуполь,проспект Победы,107,commercial,unknown,,"Маріуполь, проспект Победы, 107",47.1054943,37.6625701
Маріуполь,улица Сычева,33,commercial,unknown,,"Маріуполь, улица Сычева, 33",47.097133,37.543367
Маріуполь,улица 9 Авиадивизии,16,commercial,unknown,,"Маріуполь, улица 9 Авиадивизии, 16",47.1212402,37.5192454
Маріуполь,улица 9 Авиадивизии,18,commercial,unknown,,"Маріуполь, улица 9 Авиадивизии, 18",47.1216509,37.5192837
Маріуполь,улица 130 Таганрогской дивизии,5А,commercial,unknown,,"Маріуполь, улица 130 Таганрогской дивизии, 5А",47.1064369,37.6688932
Маріуполь,25 квартал,3,commercial,unknown,,"Маріуполь, 25 квартал, 3",47.097133,37.543367
Маріуполь,бульвар 50 лет Октября,11,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 11",47.1034474,37.6372948
Маріуполь,бульвар 50 лет Октября,21/43,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316
Маріуполь,бульвар 50 лет Октября,21/43,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316
Маріуполь,бульвар 50 лет Октября,21/43,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316
Маріуполь,бульвар 50 лет Октября,21/43,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316
Маріуполь,бульвар 50 лет Октября,25,commercial,unknown,,"Маріуполь, бульвар 50 лет Октября, 25",47.0998183,37.6363894
Маріуполь,улица 50 лет СССР,20,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 20",47.097133,37.543367
Маріуполь,улица 50 лет СССР,43,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 43",47.097133,37.543367
Маріуполь,улица 50 лет СССР,51,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 51",47.097133,37.543367
Маріуполь,улица 50 лет СССР,60,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 60",47.097133,37.543367
Маріуполь,улица 50 лет СССР,61,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367
Маріуполь,улица 50 лет СССР,61,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367
Маріуполь,улица 50 лет СССР,61А,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 61А",47.097133,37.543367
Маріуполь,улица 50 лет СССР,75,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 75",47.097133,37.543367
Маріуполь,улица 50 лет СССР,77,commercial,unknown,,"Маріуполь, улица 50 лет СССР, 77",47.097133,37.543367
Маріуполь,улица 60 лет СССР,11,commercial,unknown,,"Маріуполь, улица 60 лет СССР, 11",47.1201863,37.5135469
Маріуполь,улица 60 лет СССР,12,commercial,unknown,,"Маріуполь, улица 60 лет СССР, 12",47.1213245,37.5125248
Маріуполь,улица 9 Мая,5,commercial,unknown,,"Маріуполь, улица 9 Мая, 5",47.1204196,37.6775721
Маріуполь,улица Азовстальская,30,commercial,unknown,,"Маріуполь, улица Азовстальская, 30",47.1024119,37.6374282
Маріуполь,улица Азовстальская,49/61,commercial,unknown,,"Маріуполь, улица Азовстальская, 49/61",47.101235,37.6418643
Маріуполь,улица Азовстальская,57,commercial,unknown,,"Маріуполь, улица Азовстальская, 57",47.1010335,37.6451845
Маріуполь,улица Азовстальская,60,commercial,unknown,,"Маріуполь, улица Азовстальская, 60",47.1021006,37.6447999
Маріуполь,улица Азовстальская,124,commercial,unknown,,"Маріуполь, улица Азовстальская, 124",47.1012716,37.6566007
Маріуполь,улица Апатова,123,commercial,unknown,,"Маріуполь, улица Апатова, 123",47.093965,37.5367801
Маріуполь,улица Артема,31,commercial,unknown,,"Маріуполь, улица Артема, 31",47.097133,37.543367
Маріуполь,улица Артема,35,commercial,unknown,,"Маріуполь, улица Артема, 35",47.097133,37.543367
Маріуполь,улица Артема,35,commercial,unknown,,"Маріуполь, улица Артема, 35",47.097133,37.543367
Маріуполь,улица Артема,37,commercial,unknown,,"Маріуполь, улица Артема, 37",47.097133,37.543367
Маріуполь,улица Артема,37,commercial,unknown,,"Маріуполь, улица Артема, 37",47.097133,37.543367
Маріуполь,улица Артема,44,commercial,unknown,,"Маріуполь, улица Артема, 44",47.097133,37.543367
Маріуполь,улица Артема,48,commercial,unknown,,"Маріуполь, улица Артема, 48",47.097133,37.543367
Маріуполь,улица Артема,49,commercial,unknown,,"Маріуполь, улица Артема, 49",47.097133,37.543367
Маріуполь,улица Артема,58,commercial,unknown,,"Маріуполь, улица Артема, 58",47.097133,37.543367
Маріуполь,улица Артема,115,commercial,unknown,,"Маріуполь, улица Артема, 115",47.1090858,37.5634368
Маріуполь,улица Бахмутская,30,commercial,unknown,,"Маріуполь, улица Бахмутская, 30",47.1162305,37.5527695
Маріуполь,улица Бахчиванджи,5,commercial,unknown,,"Маріуполь, улица Бахчиванджи, 5",47.09146639999999,37.5286224
Маріуполь,бульвар Богдана Хмельницкого,39,commercial,unknown,,"Маріуполь, бульвар Богдана Хмельницкого, 39",47.09721320000001,37.5289588
Маріуполь,улица Варганова,1,commercial,unknown,,"Маріуполь, улица Варганова, 1",47.0982434,37.546955
Маріуполь,улица Варганова,1/39,commercial,unknown,,"Маріуполь, улица Варганова, 1/39",47.0982434,37.546955
Маріуполь,улица Варганова,3,commercial,unknown,,"Маріуполь, улица Варганова, 3",47.09858269999999,37.5461661
Маріуполь,улица Воинов освободителей,3/2,commercial,unknown,,"Маріуполь, улица Воинов освободителей, 3/2",47.1002316,37.6378916
Маріуполь,Володарское шоссе,2,commercial,unknown,,"Маріуполь, Володарское шоссе, 2",47.1159417,37.5067341
Маріуполь,улица Гагарина,1А,commercial,unknown,,"Маріуполь, улица Гагарина, 1А",47.0665404,37.508159
Маріуполь,улица Гагарина,1Б,commercial,unknown,,"Маріуполь, улица Гагарина, 1Б",47.0665404,37.508159
Маріуполь,улица Гагарина,116А,commercial,unknown,,"Маріуполь, улица Гагарина, 116А",47.0578716,37.4940373
Маріуполь,улица Гагарина,116А,commercial,unknown,,"Маріуполь, улица Гагарина, 116А",47.0578716,37.4940373
Маріуполь,улица Гагарина,213,commercial,unknown,,"Маріуполь, улица Гагарина, 213",47.0448505,37.47949680000001
Маріуполь,улица Гагарина,213,commercial,unknown,,"Маріуполь, улица Гагарина, 213",47.0448505,37.47949680000001
Маріуполь,улица Георгиевская,59,commercial,unknown,,"Маріуполь, улица Георгиевская, 59",47.0941262,37.5493658
Маріуполь,улица Греческая,41,commercial,unknown,,"Маріуполь, улица Греческая, 41",47.0945085,37.5534826
Маріуполь,Зинцевый спуск,44,commercial,unknown,,"Маріуполь, Зинцевый спуск, 44",47.097133,37.543367
Маріуполь,проспект Ильича,140,commercial,unknown,,"Маріуполь, проспект Ильича, 140",47.1393804,37.5691328
Маріуполь,проспект Ильича,141,commercial,unknown,,"Маріуполь, проспект Ильича, 141",47.14025549999999,37.5673995
Маріуполь,"улица Апатова, 37 (Итальянская)",,commercial,unknown,,"Маріуполь, улица Апатова, 37 (Итальянская)",47.0918096,37.5572219
Маріуполь,"улица Апатова, 88 (Итальянская)",,commercial,unknown,,"Маріуполь, улица Апатова, 88 (Итальянская)",47.0922992,37.549538
Маріуполь,улица Итальянская,119,commercial,unknown,,"Маріуполь, улица Итальянская, 119",47.0937869,37.5385296
Маріуполь,улица Казанцева,40,commercial,unknown,,"Маріуполь, улица Казанцева, 40",47.0998952,37.5397161
Маріуполь,улица Карла Либкнехта,57,commercial,unknown,,"Маріуполь, улица Карла Либкнехта, 57",47.1051833,37.53651139999999
Маріуполь,улица Карла Либкнехта,201,commercial,unknown,,"Маріуполь, улица Карла Либкнехта, 201",47.1081256,37.5112509
Маріуполь,улица Киевская,76,commercial,unknown,,"Маріуполь, улица Киевская, 76",47.097133,37.543367
Маріуполь,перекресток бульвар Комсомольского и бульвар 50 лет Октября,,commercial,unknown,,"Маріуполь, перекресток бульвар Комсомольского и бульвар 50 лет Октября",47.0982094,37.637957
