orig_address_ru,address_ua,lat,lon,service_type_ru,service_type_lat,service_type_en,service_name_ru,service_name_en,area_sqm,date_published,date_cadastral
"проспект Победы, 98","Маріуполь, проспект Победы, 98",47.1059777,37.6668117,магазин,magazin,shop,клевое место,klevoe mesto,30,2024-02-19 00:00:00,2024-06-21
"улица Олимпийская, 153","Маріуполь, улица Олимпийская, 153",47.1200104,37.6799074,магазин,magazin,shop,марат,marat,64,2024-02-19 00:00:00,2024-06-21
"проспект Победы, 109","Маріуполь, проспект Победы, 109",47.1053385,37.6644933,магазин,magazin,shop,сладости,sladosti,48,2024-02-19 00:00:00,2024-06-21
"проспект Строителей, 92","Маріуполь, проспект Строителей, 92",47.09728399999999,37.5224929,парикмахерская,parikmaherskaja,hairdresser,идеал,ideal,50,2024-02-19 00:00:00,2024-06-21
"проспект Металлургов, 121А","Маріуполь, проспект Металлургов, 121А",47.11025009999999,37.5560939,павильон,pavil'on,pavilion,цветы,tsvety,30,2024-02-19 00:00:00,2024-06-21
"проспект Металлургов, 194, пом. 2","Маріуполь, проспект Металлургов, 194",47.13351900000001,37.5660983,unknown,unknown,unknown,,,42.4,2024-02-19 00:00:00,
"проспект Строителей, 85А","Маріуполь, проспект Строителей, 85А",47.0899315,37.5237343,unknown,unknown,unknown,,,580.4,2024-02-19 00:00:00,2024-07-23
"проспект Победы, 100","Маріуполь, проспект Победы, 100",47.10586929999999,37.6671598,unknown,unknown,unknown,,,61,2024-02-19 00:00:00,2025-02-26
"проспект Победы, 111","Маріуполь, проспект Победы, 111",47.105284,37.665245,магазин,magazin,shop,уют холод,ujut holod,50,2024-02-19 00:00:00,2024-07-23
"проспект Победы, 107","Маріуполь, проспект Победы, 107",47.1054943,37.6625701,магазин,magazin,shop,шторки,shtorki,15,2024-02-19 00:00:00,2024-08-13
"улица Сычева, 33","Маріуполь, улица Сычева, 33",47.097133,37.543367,павильон,pavil'on,pavilion,приятель,prijatel',45,2024-02-19 00:00:00,2024-08-16
"улица 9 Авиадивизии, 16","Маріуполь, улица 9 Авиадивизии, 16",47.1212402,37.5192454,unknown,unknown,unknown,,,80,2024-02-19 00:00:00,2024-07-26
"улица 9 Авиадивизии, 18","Маріуполь, улица 9 Авиадивизии, 18",47.1216509,37.5192837,офисное помещение,ofisnoe pomeschenie,office space,,,50,2024-02-19 00:00:00,
"улица 130 Таганрогской дивизии, 5А","Маріуполь, улица 130 Таганрогской дивизии, 5А",47.1064369,37.6688932,магазин,magazin,shop,,,900,2024-02-19 00:00:00,2024-11-01
"25 квартал, 3","Маріуполь, 25 квартал, 3",47.097133,37.543367,магазин,magazin,shop,,,100,2024-02-19 00:00:00,2024-08-16
"бульвар 50 лет Октября, 11","Маріуполь, бульвар 50 лет Октября, 11",47.1034474,37.6372948,магазин,magazin,shop,,,48,2024-02-19 00:00:00,2024-07-26
"бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,киоск,kiosk,kiosk,,,20,2024-02-19 00:00:00,2024-11-28
"бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,киоск,kiosk,kiosk,,,10,2024-02-19 00:00:00,
"бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,киоск,kiosk,kiosk,,,10,2024-02-19 00:00:00,2024-08-16
"бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,магазин,magazin,shop,"одежды ""анди","odezhdy ""andi",170,2024-02-19 00:00:00,2024-06-17
"бульвар 50 лет Октября, 25","Маріуполь, бульвар 50 лет Октября, 25",47.0998183,37.6363894,фотоателье,fotoatel'e,photo studio,,,25,2024-02-19 00:00:00,2024-08-16
"улица 50 лет СССР, 20","Маріуполь, улица 50 лет СССР, 20",47.097133,37.543367,зоотовары,zootovary,pet store,,,40,2024-02-19 00:00:00,2024-07-26
"улица 50 лет СССР, 43","Маріуполь, улица 50 лет СССР, 43",47.097133,37.543367,стоматологическая клиника,stomatologicheskaja klinika,dental clinic,оксигенум,oksigenum,200,2024-02-19 00:00:00,2024-06-24
"улица 50 лет СССР, 51","Маріуполь, улица 50 лет СССР, 51",47.097133,37.543367,магазин,magazin,shop,,,70,2024-02-19 00:00:00,2024-06-24
"улица 50 лет СССР, 60","Маріуполь, улица 50 лет СССР, 60",47.097133,37.543367,магазин,magazin,shop,мясо тут,mjaso tut,35.4,2024-02-19 00:00:00,2024-08-05
"улица 50 лет СССР, 61","Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367,ателье,atel'e,atelier,,,50,2024-02-19 00:00:00,2024-07-26
"улица 50 лет СССР, 61","Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367,unknown,unknown,unknown,,,51,2024-02-19 00:00:00,2024-07-26
"улица 50 лет СССР, 61А","Маріуполь, улица 50 лет СССР, 61А",47.097133,37.543367,unknown,unknown,unknown,,,35.4,2024-02-19 00:00:00,2024-08-02
"улица 50 лет СССР, 75","Маріуполь, улица 50 лет СССР, 75",47.097133,37.543367,магазин,magazin,shop,мясо тут,mjaso tut,35.4,2024-02-19 00:00:00,2024-07-26
"улица 50 лет СССР, 77","Маріуполь, улица 50 лет СССР, 77",47.097133,37.543367,ателье,atel'e,atelier,,,50,2024-02-19 00:00:00,2024-07-26
"улица 60 лет СССР, 11","Маріуполь, улица 60 лет СССР, 11",47.1201863,37.5135469,магазин,magazin,shop,народный,narodnyj,250,2024-02-19 00:00:00,2024-08-05
"улица 60 лет СССР, 12","Маріуполь, улица 60 лет СССР, 12",47.1213245,37.5125248,магазин,magazin,shop,,,50,2024-02-19 00:00:00,2024-08-01
"улица 9 Мая, 5","Маріуполь, улица 9 Мая, 5",47.1204196,37.6775721,магазин,magazin,shop,,,70,2024-02-19 00:00:00,2024-08-16
"улица Азовстальская, 30","Маріуполь, улица Азовстальская, 30",47.1024119,37.6374282,магазин,magazin,shop,,,100,2024-02-19 00:00:00,2024-07-09
"улица Азовстальская, 49/61","Маріуполь, улица Азовстальская, 49/61",47.101235,37.6418643,магазин,magazin,shop,,,50,2024-02-19 00:00:00,2024-06-18
"улица Азовстальская, 57","Маріуполь, улица Азовстальская, 57",47.1010335,37.6451845,магазин,magazin,shop,,,70,2024-02-19 00:00:00,2024-06-19
"улица Азовстальская, 60","Маріуполь, улица Азовстальская, 60",47.1021006,37.6447999,магазин,magazin,shop,,,100,2024-02-19 00:00:00,2024-07-26
"улица Азовстальская, 124","Маріуполь, улица Азовстальская, 124",47.1012716,37.6566007,магазин,magazin,shop,стройматериалов,strojmaterialov,120,2024-02-19 00:00:00,2024-08-16
"улица Апатова, 123","Маріуполь, улица Апатова, 123",47.093965,37.5367801,магазин,magazin,shop,,,70,2024-02-19 00:00:00,2024-06-21
