orig_address_ru,lat,lon,street_norm,housenumber_norm
"б-р Богдана Хмельницкого, д. 24, кв. 1",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 10",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 100",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 101",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 102",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 105",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 108",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 109",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 11",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 110",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 111",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 113",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 114",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 115",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 117",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 118",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 119",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 12",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 120",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 121",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 125",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 126",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 127",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 128",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 129",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 13",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 14",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 15",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 16",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 18",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 2",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 21",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 23",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 24",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 25",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 29",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 3",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 31",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 32",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 33",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 34",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 35",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 4",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 41",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 42",,,б-р богдана хмельницкого,24
"б-р Богдана Хмельницкого, д. 24, кв. 43",,,б-р богдана хмельницкого,24
