fid,orig_address_ru,address_ua,lat,lon,street_norm,housenumber_norm,source
"1","проспект Победы, 98","Маріуполь, проспект Победы, 98",47.1059777,37.6668117,проспект победы,"98",commercial
"2","улица Олимпийская, 153","Маріуполь, улица Олимпийская, 153",47.1200104,37.6799074,улица олимпииская,"153",commercial
"3","проспект Победы, 109","Маріуполь, проспект Победы, 109",47.1053385,37.6644933,проспект победы,"109",commercial
"4","проспект Строителей, 92","Маріуполь, проспект Строителей, 92",47.097284,37.5224929,проспект строителеи,"92",commercial
"5","проспект Металлургов, 121А","Маріуполь, проспект Металлургов, 121А",47.1102501,37.5560939,проспект металлургов,121а,commercial
"6","проспект Металлургов, 194, пом. 2","Маріуполь, проспект Металлургов, 194",47.133519,37.5660983,проспект металлургов,"194",commercial
"7","проспект Строителей, 85А","Маріуполь, проспект Строителей, 85А",47.0899315,37.5237343,проспект строителеи,85а,commercial
"8","проспект Победы, 100","Маріуполь, проспект Победы, 100",47.1058693,37.6671598,проспект победы,"100",commercial
"9","проспект Победы, 111","Маріуполь, проспект Победы, 111",47.105284,37.665245,проспект победы,"111",commercial
"10","проспект Победы, 107","Маріуполь, проспект Победы, 107",47.1054943,37.6625701,проспект победы,"107",commercial
"11","улица Сычева, 33","Маріуполь, улица Сычева, 33",47.097133,37.543367,улица сычева,"33",commercial
"12","улица 9 Авиадивизии, 16","Маріуполь, улица 9 Авиадивизии, 16",47.1212402,37.5192454,улица 9 авиадивизии,"16",commercial
"13","улица 9 Авиадивизии, 18","Маріуполь, улица 9 Авиадивизии, 18",47.1216509,37.5192837,улица 9 авиадивизии,"18",commercial
"14","улица 130 Таганрогской дивизии, 5А","Маріуполь, улица 130 Таганрогской дивизии, 5А",47.1064369,37.6688932,улица 130 таганрогскои дивизии,5а,commercial
"15","25 квартал, 3","Маріуполь, 25 квартал, 3",47.097133,37.543367,25 квартал,"3",commercial
"16","бульвар 50 лет Октября, 11","Маріуполь, бульвар 50 лет Октября, 11",47.1034474,37.6372948,бульвар 50 лет октября,"11",commercial
"17","бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,бульвар 50 лет октября,21/43,commercial
"18","бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,бульвар 50 лет октября,21/43,commercial
"19","бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,бульвар 50 лет октября,21/43,commercial
"20","бульвар 50 лет Октября, 21/43","Маріуполь, бульвар 50 лет Октября, 21/43",47.1061421,37.6376316,бульвар 50 лет октября,21/43,commercial
"21","бульвар 50 лет Октября, 25","Маріуполь, бульвар 50 лет Октября, 25",47.0998183,37.6363894,бульвар 50 лет октября,"25",commercial
"22","улица 50 лет СССР, 20","Маріуполь, улица 50 лет СССР, 20",47.097133,37.543367,улица 50 лет ссср,"20",commercial
"23","улица 50 лет СССР, 43","Маріуполь, улица 50 лет СССР, 43",47.097133,37.543367,улица 50 лет ссср,"43",commercial
"24","улица 50 лет СССР, 51","Маріуполь, улица 50 лет СССР, 51",47.097133,37.543367,улица 50 лет ссср,"51",commercial
"25","улица 50 лет СССР, 60","Маріуполь, улица 50 лет СССР, 60",47.097133,37.543367,улица 50 лет ссср,"60",commercial
"26","улица 50 лет СССР, 61","Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367,улица 50 лет ссср,"61",commercial
"27","улица 50 лет СССР, 61","Маріуполь, улица 50 лет СССР, 61",47.097133,37.543367,улица 50 лет ссср,"61",commercial
"28","улица 50 лет СССР, 61А","Маріуполь, улица 50 лет СССР, 61А",47.097133,37.543367,улица 50 лет ссср,61а,commercial
"29","улица 50 лет СССР, 75","Маріуполь, улица 50 лет СССР, 75",47.097133,37.543367,улица 50 лет ссср,"75",commercial
"30","улица 50 лет СССР, 77","Маріуполь, улица 50 лет СССР, 77",47.097133,37.543367,улица 50 лет ссср,"77",commercial
"31","улица 60 лет СССР, 11","Маріуполь, улица 60 лет СССР, 11",47.1201863,37.5135469,улица 60 лет ссср,"11",commercial
"32","улица 60 лет СССР, 12","Маріуполь, улица 60 лет СССР, 12",47.1213245,37.5125248,улица 60 лет ссср,"12",commercial
"33","улица 9 Мая, 5","Маріуполь, улица 9 Мая, 5",47.1204196,37.6775721,улица 9 мая,"5",commercial
"34","улица Азовстальская, 30","Маріуполь, улица Азовстальская, 30",47.1024119,37.6374282,улица азовстальская,"30",commercial
"35","улица Азовстальская, 49/61","Маріуполь, улица Азовстальская, 49/61",47.101235,37.6418643,улица азовстальская,49/61,commercial
"36","улица Азовстальская, 57","Маріуполь, улица Азовстальская, 57",47.1010335,37.6451845,улица азовстальская,"57",commercial
"37","улица Азовстальская, 60","Маріуполь, улица Азовстальская, 60",47.1021006,37.6447999,улица азовстальская,"60",commercial
"38","улица Азовстальская, 124","Маріуполь, улица Азовстальская, 124",47.1012716,37.6566007,улица азовстальская,"124",commercial
"39","улица Апатова, 123","Маріуполь, улица Апатова, 123",47.093965,37.5367801,улица апатова,"123",commercial
"40","улица Артема, 31","Маріуполь, улица Артема, 31",47.097133,37.543367,улица артема,"31",commercial
"41","улица Артема, 35","Маріуполь, улица Артема, 35",47.097133,37.543367,улица артема,"35",commercial
"42","улица Артема, 35","Маріуполь, улица Артема, 35",47.097133,37.543367,улица артема,"35",commercial
"43","улица Артема, 37","Маріуполь, улица Артема, 37",47.097133,37.543367,улица артема,"37",commercial
"44","улица Артема, 37","Маріуполь, улица Артема, 37",47.097133,37.543367,улица артема,"37",commercial
"45","улица Артема, 44","Маріуполь, улица Артема, 44",47.097133,37.543367,улица артема,"44",commercial
"46","улица Артема, 48","Маріуполь, улица Артема, 48",47.097133,37.543367,улица артема,"48",commercial
"47","улица Артема, 49","Маріуполь, улица Артема, 49",47.097133,37.543367,улица артема,"49",commercial
"48","улица Артема, 58","Маріуполь, улица Артема, 58",47.097133,37.543367,улица артема,"58",commercial
"49","улица Артема, 115","Маріуполь, улица Артема, 115",47.1090858,37.5634368,улица артема,"115",commercial
